,ViolentCrimesPerPop
0,Medium Crime
1,Very High Crime
2,Very High Crime
3,Medium Crime
4,Very Low Crime
5,Medium Crime
6,Very Low Crime
7,Very High Crime
8,Very High Crime
9,Medium Crime
10,High Crime
11,Low Crime
12,Very Low Crime
13,Low Crime
14,Medium Crime
15,High Crime
16,Very High Crime
17,Low Crime
18,Medium Crime
19,Very Low Crime
20,High Crime
21,Very High Crime
22,Medium Crime
23,Very High Crime
24,High Crime
25,Medium Crime
26,Very High Crime
27,Low Crime
28,Very High Crime
29,Very Low Crime
30,Medium Crime
31,Medium Crime
32,Medium Crime
33,High Crime
34,Low Crime
35,High Crime
36,Low Crime
37,High Crime
38,Medium Crime
39,Low Crime
40,Low Crime
41,Very Low Crime
42,Very High Crime
43,High Crime
44,Medium Crime
45,Medium Crime
46,Medium Crime
47,Medium Crime
48,Low Crime
49,Medium Crime
50,Medium Crime
51,Very High Crime
52,High Crime
53,Very Low Crime
54,Low Crime
55,High Crime
56,High Crime
57,High Crime
58,Very High Crime
59,Very Low Crime
60,Very Low Crime
61,Low Crime
62,Low Crime
63,Very High Crime
64,High Crime
65,Medium Crime
66,Very High Crime
67,Very Low Crime
68,Very High Crime
69,Very Low Crime
70,Very Low Crime
71,Medium Crime
72,Very Low Crime
73,Very Low Crime
74,Medium Crime
75,Medium Crime
76,Medium Crime
77,Very High Crime
78,Very High Crime
79,Very High Crime
80,High Crime
81,High Crime
82,Very High Crime
83,Very Low Crime
84,Very Low Crime
85,Very Low Crime
86,Low Crime
87,Low Crime
88,High Crime
89,Medium Crime
90,Very High Crime
91,Very Low Crime
92,Very Low Crime
93,Medium Crime
94,Very High Crime
95,High Crime
96,Very High Crime
97,Very Low Crime
98,Low Crime
99,Low Crime
100,High Crime
101,Very Low Crime
102,High Crime
103,High Crime
104,Low Crime
105,Very High Crime
106,High Crime
107,Low Crime
108,High Crime
109,Very High Crime
110,Very High Crime
111,Very Low Crime
112,Very Low Crime
113,Medium Crime
114,Very High Crime
115,Very Low Crime
116,Very High Crime
117,Very Low Crime
118,Very Low Crime
119,Very High Crime
120,High Crime
121,Very Low Crime
122,Very Low Crime
123,Low Crime
124,Medium Crime
125,Medium Crime
126,Medium Crime
127,Medium Crime
128,Very High Crime
129,Very Low Crime
130,High Crime
131,Medium Crime
132,Medium Crime
133,High Crime
134,Low Crime
135,Very Low Crime
136,Low Crime
137,Medium Crime
138,High Crime
139,Very Low Crime
140,Low Crime
141,Low Crime
142,High Crime
143,Very Low Crime
144,Medium Crime
145,Very High Crime
146,Very High Crime
147,Very Low Crime
148,Very High Crime
149,Very High Crime
150,Medium Crime
151,Very High Crime
152,Very Low Crime
153,High Crime
154,Very High Crime
155,Very High Crime
156,Very Low Crime
157,Very High Crime
158,Very High Crime
159,Very Low Crime
160,Low Crime
161,Very Low Crime
162,Medium Crime
163,Low Crime
164,Very Low Crime
165,High Crime
166,Very Low Crime
167,Medium Crime
168,Very High Crime
169,Very High Crime
170,High Crime
171,Low Crime
172,Low Crime
173,Medium Crime
174,Very High Crime
175,Medium Crime
176,Low Crime
177,Very High Crime
178,Low Crime
179,High Crime
180,Medium Crime
181,High Crime
182,High Crime
183,Very Low Crime
184,Medium Crime
185,High Crime
186,Medium Crime
187,Very Low Crime
188,Very Low Crime
189,Low Crime
190,Low Crime
191,Medium Crime
192,Low Crime
193,Low Crime
194,Very Low Crime
195,Very Low Crime
196,Very Low Crime
197,Very High Crime
198,High Crime
199,Very High Crime
200,Medium Crime
201,Medium Crime
202,High Crime
203,Very High Crime
204,Very Low Crime
205,Medium Crime
206,High Crime
207,Medium Crime
208,Very Low Crime
209,Medium Crime
210,High Crime
211,Very Low Crime
212,Very High Crime
213,Very Low Crime
214,High Crime
215,Very High Crime
216,Low Crime
217,Very Low Crime
218,Medium Crime
219,Very Low Crime
220,Very Low Crime
221,High Crime
222,High Crime
223,Very Low Crime
224,Medium Crime
225,Low Crime
226,Very High Crime
227,Medium Crime
228,Very High Crime
229,Very High Crime
230,Very Low Crime
231,Very Low Crime
232,Medium Crime
233,Very High Crime
234,Medium Crime
235,Low Crime
236,High Crime
237,Very Low Crime
238,High Crime
239,Medium Crime
240,Very Low Crime
241,Medium Crime
242,High Crime
243,Very High Crime
244,Medium Crime
245,High Crime
246,Very High Crime
247,High Crime
248,Very High Crime
249,Very Low Crime
250,Very High Crime
251,Very High Crime
252,Very Low Crime
253,Low Crime
254,Very Low Crime
255,Very High Crime
256,Medium Crime
257,Very Low Crime
258,Very Low Crime
259,Low Crime
260,Very High Crime
261,Very High Crime
262,Very High Crime
263,Very Low Crime
264,Very Low Crime
265,Medium Crime
266,High Crime
267,Medium Crime
268,Very Low Crime
269,Very High Crime
270,Low Crime
271,High Crime
272,High Crime
273,High Crime
274,Medium Crime
275,High Crime
276,High Crime
277,Low Crime
278,Very Low Crime
279,Very Low Crime
280,Very Low Crime
281,Medium Crime
282,Very Low Crime
283,High Crime
284,Medium Crime
285,Medium Crime
286,Very High Crime
287,Very Low Crime
288,Very High Crime
289,Low Crime
290,Low Crime
291,Low Crime
292,Very Low Crime
293,High Crime
294,Low Crime
295,Medium Crime
296,Very High Crime
297,Very Low Crime
298,High Crime
299,High Crime
300,Low Crime
301,Very Low Crime
302,High Crime
303,High Crime
304,Very Low Crime
305,Very High Crime
306,High Crime
307,High Crime
308,Very Low Crime
309,Very Low Crime
310,Medium Crime
311,Medium Crime
312,Medium Crime
313,Very High Crime
314,Medium Crime
315,High Crime
316,High Crime
317,High Crime
318,Very Low Crime
319,Medium Crime
320,Very High Crime
321,Low Crime
322,Low Crime
323,High Crime
324,High Crime
325,High Crime
326,Low Crime
327,Medium Crime
328,Medium Crime
329,High Crime
330,Low Crime
331,High Crime
332,Very Low Crime
333,Very High Crime
334,Very High Crime
335,Very Low Crime
336,Low Crime
337,Very Low Crime
338,Medium Crime
339,Very Low Crime
340,Low Crime
341,Low Crime
342,Very Low Crime
343,Very Low Crime
344,Very Low Crime
345,Medium Crime
346,Very High Crime
347,Low Crime
348,Very Low Crime
349,Low Crime
350,Very Low Crime
351,Low Crime
352,Low Crime
353,Low Crime
354,Very Low Crime
355,High Crime
356,Very Low Crime
357,Very Low Crime
358,Very Low Crime
359,Low Crime
360,Very High Crime
361,High Crime
362,Very High Crime
363,Low Crime
364,Very Low Crime
365,Very High Crime
366,High Crime
367,Medium Crime
368,Low Crime
369,Low Crime
370,Very High Crime
371,Medium Crime
372,Very Low Crime
373,Very Low Crime
374,Very High Crime
375,Very High Crime
376,Very Low Crime
377,Low Crime
378,High Crime
379,High Crime
380,Very High Crime
381,Very Low Crime
382,Very Low Crime
383,Medium Crime
384,Very High Crime
385,High Crime
386,High Crime
387,Very High Crime
388,Very High Crime
389,Very Low Crime
390,Low Crime
391,Very Low Crime
392,High Crime
393,Very High Crime
394,Very Low Crime
395,Low Crime
396,High Crime
397,Low Crime
398,Medium Crime
399,Very High Crime
400,Very High Crime
401,Very High Crime
402,Very Low Crime
403,Medium Crime
404,Very High Crime
405,High Crime
406,Medium Crime
407,Very High Crime
408,Very High Crime
409,High Crime
410,Very High Crime
411,Medium Crime
412,Medium Crime
413,Very High Crime
414,Low Crime
415,Medium Crime
416,Very Low Crime
417,Medium Crime
418,High Crime
419,Low Crime
420,Very High Crime
421,Very High Crime
422,Very Low Crime
423,Very High Crime
424,Very Low Crime
425,Medium Crime
426,Very Low Crime
427,Very High Crime
428,Very High Crime
429,Very High Crime
430,Very Low Crime
431,Very High Crime
432,Very Low Crime
433,Medium Crime
434,Very Low Crime
435,Low Crime
436,Very Low Crime
437,Very Low Crime
438,Medium Crime
439,High Crime
440,Medium Crime
441,High Crime
442,Very Low Crime
443,Very Low Crime
444,Very High Crime
445,Very Low Crime
446,Very High Crime
447,Very High Crime
448,Very Low Crime
449,Very Low Crime
450,Very High Crime
451,Very Low Crime
452,Medium Crime
453,Low Crime
454,Very High Crime
455,Low Crime
456,Low Crime
457,Very High Crime
458,Low Crime
459,Very Low Crime
460,Very High Crime
461,Very Low Crime
462,Very High Crime
463,High Crime
464,High Crime
465,Low Crime
466,High Crime
467,Medium Crime
468,Medium Crime
469,Very Low Crime
470,High Crime
471,Very Low Crime
472,Very High Crime
473,Very High Crime
474,High Crime
475,High Crime
476,Medium Crime
477,High Crime
478,Very Low Crime
479,High Crime
480,Very High Crime
481,High Crime
482,Very High Crime
483,Low Crime
484,Very Low Crime
485,High Crime
486,Low Crime
487,Very Low Crime
488,Medium Crime
489,Very Low Crime
490,Very Low Crime
491,High Crime
492,Low Crime
493,Very Low Crime
494,High Crime
495,High Crime
496,Medium Crime
497,Medium Crime
498,Medium Crime
499,Very High Crime
500,Low Crime
501,High Crime
502,Medium Crime
503,Very Low Crime
504,Medium Crime
505,Very High Crime
506,Medium Crime
507,Medium Crime
508,High Crime
509,Very Low Crime
510,Medium Crime
511,High Crime
512,Medium Crime
513,High Crime
514,Medium Crime
515,Very Low Crime
516,Medium Crime
517,Low Crime
518,Low Crime
519,Very Low Crime
520,Medium Crime
521,Medium Crime
522,Very High Crime
523,High Crime
524,Low Crime
525,Very High Crime
526,High Crime
527,Low Crime
528,Very High Crime
529,Very Low Crime
530,Very Low Crime
531,Medium Crime
532,Very High Crime
533,Medium Crime
534,Very Low Crime
535,Medium Crime
536,Very Low Crime
537,Medium Crime
538,Low Crime
539,Very High Crime
540,Medium Crime
541,Medium Crime
542,Very Low Crime
543,Very Low Crime
544,High Crime
545,Very High Crime
546,Low Crime
547,Medium Crime
548,Very Low Crime
549,High Crime
550,Very Low Crime
551,Very Low Crime
552,Very High Crime
553,Medium Crime
554,Very Low Crime
555,Very High Crime
556,Very Low Crime
557,High Crime
558,High Crime
559,Low Crime
560,Very High Crime
561,Low Crime
562,Medium Crime
563,High Crime
564,Very High Crime
565,Very Low Crime
566,High Crime
567,Very High Crime
568,High Crime
569,High Crime
570,Medium Crime
571,Medium Crime
572,Low Crime
573,Medium Crime
574,Low Crime
575,Low Crime
576,Very Low Crime
577,Very Low Crime
578,Low Crime
579,Medium Crime
580,Very Low Crime
581,Medium Crime
582,High Crime
583,Medium Crime
584,Low Crime
585,Low Crime
586,Very High Crime
587,Very High Crime
588,Medium Crime
589,Medium Crime
590,Very High Crime
591,Very High Crime
592,Very Low Crime
593,Very Low Crime
594,Very Low Crime
595,Low Crime
596,Medium Crime
597,High Crime
598,Medium Crime
599,Very Low Crime
600,Very High Crime
601,High Crime
602,High Crime
603,Low Crime
604,Very High Crime
605,High Crime
606,Medium Crime
607,Low Crime
608,Very High Crime
609,Very Low Crime
610,Very High Crime
611,Medium Crime
612,High Crime
613,Low Crime
614,Very High Crime
615,Very High Crime
616,Low Crime
617,Medium Crime
618,Medium Crime
619,Medium Crime
620,High Crime
621,Very Low Crime
622,Low Crime
623,Very Low Crime
624,High Crime
625,Low Crime
626,Low Crime
627,Very Low Crime
628,Low Crime
629,Medium Crime
630,Very High Crime
631,Very High Crime
632,Medium Crime
633,High Crime
634,Very Low Crime
635,Low Crime
636,Medium Crime
637,Very High Crime
638,Medium Crime
639,Medium Crime
640,High Crime
641,Very High Crime
642,Very High Crime
643,Very Low Crime
644,Very Low Crime
645,High Crime
646,Medium Crime
647,Very Low Crime
648,Very High Crime
649,Very Low Crime
650,Medium Crime
651,Medium Crime
652,Very Low Crime
653,Very Low Crime
654,Very Low Crime
655,Low Crime
656,High Crime
657,Low Crime
658,Medium Crime
659,Very High Crime
660,High Crime
661,Very Low Crime
662,High Crime
663,Very High Crime
664,Low Crime
665,High Crime
666,High Crime
667,Very High Crime
668,High Crime
669,Very High Crime
670,High Crime
671,Low Crime
672,Very Low Crime
673,Very High Crime
674,High Crime
675,Very High Crime
676,Very High Crime
677,Medium Crime
678,Very High Crime
679,Very Low Crime
680,High Crime
681,High Crime
682,Very High Crime
683,High Crime
684,High Crime
685,Very Low Crime
686,Medium Crime
687,Very High Crime
688,Very High Crime
689,Medium Crime
690,Very Low Crime
691,Very High Crime
692,Very High Crime
693,High Crime
694,High Crime
695,Very High Crime
696,Very Low Crime
697,Low Crime
698,Very High Crime
699,Very High Crime
700,Very High Crime
701,Low Crime
702,Low Crime
703,Very Low Crime
704,Medium Crime
705,High Crime
706,Very High Crime
707,Medium Crime
708,High Crime
709,Low Crime
710,Very Low Crime
711,Very High Crime
712,Low Crime
713,Medium Crime
714,High Crime
715,Medium Crime
716,High Crime
717,Low Crime
718,Medium Crime
719,Low Crime
720,Medium Crime
721,Very Low Crime
722,High Crime
723,Very High Crime
724,Medium Crime
725,Very Low Crime
726,Very High Crime
727,High Crime
728,Very Low Crime
729,Medium Crime
730,Very Low Crime
731,Very High Crime
732,Very High Crime
733,Medium Crime
734,Low Crime
735,Very High Crime
736,Medium Crime
737,Very Low Crime
738,High Crime
739,Medium Crime
740,High Crime
741,High Crime
742,Very High Crime
743,Medium Crime
744,Very Low Crime
745,High Crime
746,Very Low Crime
747,Medium Crime
748,Low Crime
749,Very Low Crime
750,Medium Crime
751,Low Crime
752,Low Crime
753,Low Crime
754,Low Crime
755,Medium Crime
756,Very Low Crime
757,High Crime
758,High Crime
759,Medium Crime
760,Medium Crime
761,Medium Crime
762,Medium Crime
763,Medium Crime
764,Very Low Crime
765,Very Low Crime
766,High Crime
767,High Crime
768,Low Crime
769,High Crime
770,Very High Crime
771,Very Low Crime
772,High Crime
773,Very Low Crime
774,High Crime
775,High Crime
776,Very High Crime
777,Very High Crime
778,Low Crime
779,Very High Crime
780,High Crime
781,Very High Crime
782,Low Crime
783,Very High Crime
784,Very Low Crime
785,Medium Crime
786,Very High Crime
787,Very Low Crime
788,Very Low Crime
789,Very Low Crime
790,Medium Crime
791,Very High Crime
792,Very Low Crime
793,Medium Crime
794,Medium Crime
795,High Crime
796,Very Low Crime
797,Low Crime
798,Very Low Crime
799,Very Low Crime
800,Very Low Crime
801,High Crime
802,Very Low Crime
803,Very High Crime
804,High Crime
805,Medium Crime
806,Low Crime
807,Low Crime
808,Medium Crime
809,Very Low Crime
810,Very High Crime
811,High Crime
812,Medium Crime
813,Low Crime
814,Medium Crime
815,Very Low Crime
816,Medium Crime
817,Very Low Crime
818,High Crime
819,Medium Crime
820,Very Low Crime
821,High Crime
822,Very Low Crime
823,Very Low Crime
824,Very Low Crime
825,Very Low Crime
826,Low Crime
827,High Crime
828,Very High Crime
829,High Crime
830,Low Crime
831,Very Low Crime
832,Very Low Crime
833,Very Low Crime
834,Low Crime
835,High Crime
836,Very High Crime
837,Medium Crime
838,Very Low Crime
839,Very Low Crime
840,High Crime
841,Very High Crime
842,High Crime
843,Very High Crime
844,Medium Crime
845,Very High Crime
846,Very High Crime
847,High Crime
848,Very Low Crime
849,Very Low Crime
850,Very Low Crime
851,Very Low Crime
852,Very Low Crime
853,Very Low Crime
854,High Crime
855,Very High Crime
856,Medium Crime
857,Very High Crime
858,Very High Crime
859,High Crime
860,Medium Crime
861,Low Crime
862,High Crime
863,Low Crime
864,High Crime
865,Very Low Crime
866,Very High Crime
867,Very High Crime
868,Medium Crime
869,Very High Crime
870,Very High Crime
871,High Crime
872,Medium Crime
873,Medium Crime
874,High Crime
875,Very Low Crime
876,High Crime
877,High Crime
878,Low Crime
879,Medium Crime
880,Low Crime
881,Very Low Crime
882,Very Low Crime
883,Very High Crime
884,Low Crime
885,Medium Crime
886,High Crime
887,Very Low Crime
888,Low Crime
889,High Crime
890,Medium Crime
891,Very Low Crime
892,Very Low Crime
893,Very Low Crime
894,Low Crime
895,Low Crime
896,High Crime
897,High Crime
898,Very High Crime
899,High Crime
900,Low Crime
901,Very Low Crime
902,Very High Crime
903,Medium Crime
904,Low Crime
905,Low Crime
906,Very High Crime
907,Very Low Crime
908,Low Crime
909,Very High Crime
910,Very Low Crime
911,Very Low Crime
912,Medium Crime
913,Medium Crime
914,Very Low Crime
915,Medium Crime
916,Low Crime
917,Very High Crime
918,Medium Crime
919,Low Crime
920,Very High Crime
921,Very Low Crime
922,High Crime
923,Medium Crime
924,High Crime
925,Very Low Crime
926,High Crime
927,Low Crime
928,High Crime
929,High Crime
930,Very Low Crime
931,Very High Crime
932,Low Crime
933,Low Crime
934,Very Low Crime
935,Low Crime
936,Medium Crime
937,Very Low Crime
938,Medium Crime
939,Very Low Crime
940,Medium Crime
941,Medium Crime
942,Medium Crime
943,Very Low Crime
944,Medium Crime
945,Very High Crime
946,Medium Crime
947,Very High Crime
948,Medium Crime
949,Medium Crime
950,High Crime
951,Medium Crime
952,Very High Crime
953,Very High Crime
954,High Crime
955,Very High Crime
956,Very Low Crime
957,Very High Crime
958,Medium Crime
959,High Crime
960,High Crime
961,Very High Crime
962,Very Low Crime
963,Very Low Crime
964,Very Low Crime
965,Medium Crime
966,Very High Crime
967,Low Crime
968,High Crime
969,High Crime
970,Very High Crime
971,Low Crime
972,High Crime
973,Very High Crime
974,Medium Crime
975,Low Crime
976,Very High Crime
977,High Crime
978,High Crime
979,Low Crime
980,Medium Crime
981,Low Crime
982,Medium Crime
983,Low Crime
984,Low Crime
985,Very Low Crime
986,High Crime
987,Low Crime
988,Very Low Crime
989,Low Crime
990,Medium Crime
991,Very High Crime
992,Very High Crime
993,Very Low Crime
994,Very Low Crime
995,High Crime
996,Low Crime
997,Low Crime
998,Very High Crime
999,Very Low Crime
1000,Very Low Crime
1001,Very High Crime
1002,Medium Crime
1003,Medium Crime
1004,Very High Crime
1005,Medium Crime
1006,Very High Crime
1007,Very Low Crime
1008,Very High Crime
1009,Very Low Crime
1010,Very Low Crime
1011,High Crime
1012,High Crime
1013,Very Low Crime
1014,High Crime
1015,High Crime
1016,Very Low Crime
1017,Medium Crime
1018,Low Crime
1019,Very Low Crime
1020,Medium Crime
1021,Medium Crime
1022,Medium Crime
1023,Very Low Crime
